Deal ID,Company Name,Website,Industry,Employee Count,Funding Stage,Funding Amount,Deal Stage,AE Owner,Deal Value (EUR),Created Date,Current FP&A Tool,Notes,Enrichment Status,ICP Score,Last Enriched
DEAL-0001,Hexalogic People,https://hexalogic.io,HR SaaS,280,Series B,18000000,Qualified,Elena Martínez,42000,2026-04-12,Google Sheets + Excel,"Inbound from Q1 webinar. CFO Marc Puig owns evaluation. Monthly close currently 8+ days. Board pack still manual.",Pending,,
DEAL-0002,Quizora Forms,https://quizora.com,Conversational Forms SaaS,410,Series C,52000000,Qualified,Daniel Klein,68000,2026-04-18,Excel,"Outbound. Just hired VP Finance from a public SaaS. Mentioned Pigment in discovery call but no contract.",Pending,,
DEAL-0003,Vertiluz Energy,https://vertiluz.es,Energy SaaS,220,Series B,30000000,Qualified,Sofia Rossi,55000,2026-04-23,Excel + custom Postgres dashboards,"Champion: Head of FP&A Júlia Roca. Three-month rolling forecast pain. Needs scenario modelling for tariff changes.",Pending,,
DEAL-0004,Norvik Logistics Cloud,https://norvik-logistics.se,Logistics SaaS,610,Series D,95000000,Qualified,Aisha Patel,82000,2026-03-30,Unknown,"Partial data. Reached us via partner referral. Finance team size unconfirmed. Budget signed off but timeline soft.",Pending,,
DEAL-0005,Cobblemark Retail Analytics,https://cobblemark.co.uk,Retail Analytics SaaS,120,Seed,4500000,Qualified,Daniel Klein,28000,2026-04-02,Unknown,"Older seed round (2023). May be capital constrained. Worth qualifying budget early.",Pending,,
DEAL-0006,Praxiom Cyber,https://praxiomcyber.de,Cybersecurity SaaS,75,Series A,11000000,Qualified,Sofia Rossi,36000,2026-04-08,Unknown,"Limited public data. Stealthy German scaleup. Strong technical buyers — finance is one ex-Big4 hire.",Pending,,
DEAL-0007,Brightspark Toys,https://brightsparktoys.es,Consumer E-commerce (Toys),35,Bootstrapped,0,Qualified,Elena Martínez,12000,2026-04-15,QuickBooks,"Came in via website form. B2C, sub-50 employees. Likely Red ICP — qualify out unless budget surprises.",Pending,,
DEAL-0008,Polaris Health Foundation,https://polarishealth.eu,Healthcare Non-profit,1500,Grant-funded,0,Qualified,Aisha Patel,0,2026-04-19,Microsoft Dynamics GP,"EU-funded foundation, 1500 staff across 14 countries. Procurement cycle 9-12 months. Likely Red ICP.",Pending,,
DEAL-0009,Stratacore Capital,,Asset Management,90,Series A,8000000,Qualified,Marc Puig,45000,2026-04-21,Excel,"No website on record — sales rep didn't capture it. Need to discover via Clearbit or LinkedIn.",Pending,,
DEAL-0010,Lumenflow Robotics,,Industrial Robotics,140,Series B,22000000,Qualified,Daniel Klein,52000,2026-04-25,Unknown,"Website missing in CRM. Munich-based. Hardware + software hybrid — careful with industry classification.",Pending,,
DEAL-0011,Mertonbridge Logistics,https://mertonbridge.nl,Logistics & Supply Chain SaaS,320,Series C,40000000,Qualified,Sofia Rossi,75000,2026-04-10,Anaplan,"Currently on Anaplan, 3 years into a 5-year contract. CFO frustrated with implementation cost. Potential displacement deal — needs battlecard.",Pending,,
DEAL-0012,Cascadia Foods,https://cascadiafoods.com,Food & Beverage SaaS,180,Series B,25000000,Qualified,Aisha Patel,48000,2026-04-26,Workday Adaptive,"Portland Oregon HQ. Outside EU — pricing in USD, data residency may matter. Currently Workday Adaptive, in renewal window Q3.",Pending,,
